Référence	ContexteGauche	Pivot	ContexteDroit
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, vergig, 663, 2 332 050		ie_je an_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, jongl, 325, 2 359 464		je_je i_y	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, sully2, 3306, 2 439 382		ge_je i_y	
iou, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, amo, 505, 2 452 971		iou_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, sage, 76, 2 474 692		je_je y_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, sage, 1225, 2 491 115		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, sage, 1225, 2 491 121		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, sage, 1321, 2 492 656		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, sage, 1327, 2 492 721		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, sage, 1365, 2 493 247		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, sage, 1479, 2 495 083		je_je y_y	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, faba, 2262, 2 522 186		ie_je en_en	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, faba, 2446, 2 523 334		ie_je en_en	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fabd, 487, 2 535 097		ge_je i_y	
io, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fabj, 109, 2 542 204		io_je i_y	
jou, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, fabj, 1340, 2 549 864		jou_je i_y	
ge, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, edmond, 1341, 2 560 582		ge_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, cass, 331, 2 623 647		je_je en_en	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, gar, 195, 2 627 294		je_je i_y	
je, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, enf, 796, 2 657 897		je_je en_en	
ie, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, oct, 160, 2 671 089		ie_je en_en	
jou, PRO:pers:suj:1:sg:unb, PRO:pers, PROper, je, je, pen, 253, 2 679 637		jou_je en_en	
